"","domainname","nbHostname","nbIP","totalScanNb","nbDayHnScanned","loginBannerNb","rejectScanNb","warningBannerNb","sysInfoBannerNb","sshPortNb","noSecurityNoSysinfoNB","SecurityNoSysinfoNB"
"431","depoort.org",1,1,135,1,0.488888888888889,0.125925925925926,0,0,0,0.385185185185185,0.614814814814815
"432","deruiter.nl",3,3,532,1,1,0,0,0,0,0,1
"433","deruntrading.nl",1,1,200,1,0.885,0.115,0,0,0,0,1
"434","despiegelhaarlem.nl",1,1,200,1,0.81,0.19,0,0,0,0,1
"435","devcapsule.com",5,5,21,1,0,0,0,0,0,0,0
"436","devcon.nl",1,1,3,1,1,0,0,1,0,0,0
"437","devosgroep.nl",1,1,192,1,0,0,0,0,0,1,0
"438","devrijqs.nl",1,1,7,1,0.857142857142857,0.142857142857143,0,0,0,0,1
"439","dewolfproducts.nl",1,1,153,1,1,0,0,1,0,0,0
"440","df-ix.net",1,1,44,1,1,0,0,0,0,0,1
"441","dfbv.net",1,1,200,1,0,0,0,0,0,1,0
"442","dgadvocaten.nl",1,1,171,1,0.853801169590643,0.146198830409357,0,0,0,0,1
"443","dgcc.nl",1,1,206,1,0.975728155339806,0.0242718446601942,0,0,0,0,1
"444","dgt-bv.com",1,1,206,1,0,0,0,0,0,1,0
"445","dhcp",1,32,1567,0.0580727504786216,1,0,0,1,0,0,0
"446","dhmserver.nl",1,1,94,1,0,0,0,1,1,0,0
"447","dhst.nl",1,1,200,1,0.995,0,0,0,0,0.005,0.995
"448","dibella.biz",1,1,154,1,0,0,0,1,1,0,0
"449","dicap.nl",1,1,203,1,0.866995073891626,0.133004926108374,0,0,0,0,1
"450","dicon.nl",1,1,62,1,0.903225806451613,0.0967741935483871,0,0,0,0,1
"451","dienstencentrumlauwersoog.nl",1,1,202,1,0.856435643564356,0.143564356435644,0,0,0,0,1
"452","dierenopvang.com",1,1,177,1,1,0,0,0,0,0,1
"453","diga-colmore.local",1,1,205,1,1,0,0,0,0,0,1
"454","digicore-europe.com",1,1,64,1,0.90625,0.09375,0,0,0,0,1
"455","digires.net",2,7,735,0.364625850340136,0.314285714285714,0,0,0,0,0,0
